<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RI.MICEX LC,M,20090301,000000,1276.5600000
RI.MICEX LC,M,20090401,000000,1511.6100000
RI.MICEX LC,M,20090501,000000,1840.3500000
RI.MICEX LC,M,20090601,000000,1567.9800000
RI.MICEX LC,M,20090701,000000,1716.0600000
RI.MICEX LC,M,20090801,000000,1775.6500000
RI.MICEX LC,M,20090901,000000,1961.2900000
RI.MICEX LC,M,20091001,000000,2026.5400000
RI.MICEX LC,M,20091101,000000,2108.7400000
RI.MICEX LC,M,20091201,000000,2249.6000000
RI.MICEX LC,M,20100101,000000,2309.1300000
RI.MICEX LC,M,20100201,000000,2162.2500000
RI.MICEX LC,M,20100301,000000,2336.1300000
RI.MICEX LC,M,20100401,000000,2325.0900000
RI.MICEX LC,M,20100501,000000,2155.3600000
RI.MICEX LC,M,20100601,000000,2104.9800000
RI.MICEX LC,M,20100701,000000,2265.4000000
RI.MICEX LC,M,20100801,000000,2212.2000000
RI.MICEX LC,M,20100901,000000,2320.6200000
RI.MICEX LC,M,20101001,000000,2448.9800000
RI.MICEX LC,M,20101101,000000,2500.5000000
RI.MICEX LC,M,20101201,000000,2706.2800000
RI.MICEX LC,M,20110101,000000,2779.0500000
RI.MICEX LC,M,20110201,000000,2871.5900000
RI.MICEX LC,M,20110301,000000,2924.6200000
RI.MICEX LC,M,20110401,000000,2806.7300000
RI.MICEX LC,M,20110501,000000,2676.0000000
RI.MICEX LC,M,20110601,000000,2675.1900000
RI.MICEX LC,M,20110701,000000,2735.3000000
RI.MICEX LC,M,20110801,000000,2497.5800000
RI.MICEX LC,M,20110901,000000,2238.7400000
RI.MICEX LC,M,20111001,000000,2433.2500000
RI.MICEX LC,M,20111101,000000,2432.5400000
RI.MICEX LC,M,20111201,000000,2270.6800000
RI.MICEX LC,M,20120101,000000,2430.5100000
RI.MICEX LC,M,20120201,000000,2558.2000000
RI.MICEX LC,M,20120301,000000,2413.4400000
RI.MICEX LC,M,20120401,000000,2355.1800000
RI.MICEX LC,M,20120501,000000,2102.4200000
RI.MICEX LC,M,20120601,000000,2227.3200000
RI.MICEX LC,M,20120701,000000,2252.3100000
RI.MICEX LC,M,20120801,000000,2278.5300000
RI.MICEX LC,M,20120901,000000,2321.9700000
RI.MICEX LC,M,20121001,000000,2287.9700000
RI.MICEX LC,M,20121101,000000,2248.3200000
RI.MICEX LC,M,20121201,000000,2367.8800000
RI.MICEX LC,M,20130101,000000,2473.1000000
RI.MICEX LC,M,20130201,000000,2367.0000000
RI.MICEX LC,M,20130301,000000,2314.3300000
RI.MICEX LC,M,20130401,000000,2244.8900000
RI.MICEX LC,M,20130501,000000,2264.3000000
