<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RI.MICEX LC,W,20090302,000000,1135.9800000
RI.MICEX LC,W,20090309,000000,1244.4800000
RI.MICEX LC,W,20090316,000000,1319.3000000
RI.MICEX LC,W,20090323,000000,1353.7700000
RI.MICEX LC,W,20090330,000000,1385.3600000
RI.MICEX LC,W,20090406,000000,1535.6500000
RI.MICEX LC,W,20090413,000000,1534.7200000
RI.MICEX LC,W,20090420,000000,1518.4700000
RI.MICEX LC,W,20090427,000000,1511.6100000
RI.MICEX LC,W,20090504,000000,1690.4500000
RI.MICEX LC,W,20090511,000000,1644.5100000
RI.MICEX LC,W,20090518,000000,1733.1300000
RI.MICEX LC,W,20090525,000000,1840.3500000
RI.MICEX LC,W,20090601,000000,1861.2700000
RI.MICEX LC,W,20090608,000000,1850.5400000
RI.MICEX LC,W,20090615,000000,1638.2600000
RI.MICEX LC,W,20090622,000000,1549.7900000
RI.MICEX LC,W,20090629,000000,1571.8000000
RI.MICEX LC,W,20090706,000000,1410.9500000
RI.MICEX LC,W,20090713,000000,1570.4100000
RI.MICEX LC,W,20090720,000000,1670.9400000
RI.MICEX LC,W,20090727,000000,1716.0600000
RI.MICEX LC,W,20090803,000000,1817.4900000
RI.MICEX LC,W,20090810,000000,1736.6900000
RI.MICEX LC,W,20090817,000000,1799.4900000
RI.MICEX LC,W,20090824,000000,1809.5000000
RI.MICEX LC,W,20090831,000000,1770.2600000
RI.MICEX LC,W,20090907,000000,1919.1800000
RI.MICEX LC,W,20090914,000000,1976.0500000
RI.MICEX LC,W,20090921,000000,1943.9600000
RI.MICEX LC,W,20090928,000000,1924.7000000
RI.MICEX LC,W,20091005,000000,2150.6700000
RI.MICEX LC,W,20091012,000000,2157.3200000
RI.MICEX LC,W,20091019,000000,2244.7800000
RI.MICEX LC,W,20091026,000000,2026.5400000
RI.MICEX LC,W,20091102,000000,2038.4400000
RI.MICEX LC,W,20091109,000000,2153.4600000
RI.MICEX LC,W,20091116,000000,2190.1000000
RI.MICEX LC,W,20091123,000000,2111.3100000
RI.MICEX LC,W,20091130,000000,2211.1100000
RI.MICEX LC,W,20091207,000000,2137.4500000
RI.MICEX LC,W,20091214,000000,2244.5400000
RI.MICEX LC,W,20091221,000000,2225.1000000
RI.MICEX LC,W,20091228,000000,2249.6000000
RI.MICEX LC,W,20100111,000000,2370.1100000
RI.MICEX LC,W,20100118,000000,2298.9300000
