<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,W,20090302,000000,15.8100000
SBER,W,20090309,000000,16.9000000
SBER,W,20090316,000000,22.9000000
SBER,W,20090323,000000,22.6300000
SBER,W,20090330,000000,22.9000000
SBER,W,20090406,000000,26.8500000
SBER,W,20090413,000000,28.8500000
SBER,W,20090420,000000,27.7500000
SBER,W,20090427,000000,27.8000000
SBER,W,20090504,000000,32.2700000
SBER,W,20090511,000000,32.9800000
SBER,W,20090518,000000,39.0100000
SBER,W,20090525,000000,44.1300000
SBER,W,20090601,000000,50.7500000
SBER,W,20090608,000000,47.9800000
SBER,W,20090615,000000,41.1000000
SBER,W,20090622,000000,39.7200000
SBER,W,20090629,000000,38.5400000
SBER,W,20090706,000000,34.3600000
SBER,W,20090713,000000,38.0200000
SBER,W,20090720,000000,40.8500000
SBER,W,20090727,000000,42.3900000
SBER,W,20090803,000000,47.8000000
SBER,W,20090810,000000,46.7000000
SBER,W,20090817,000000,48.7100000
SBER,W,20090824,000000,48.2700000
SBER,W,20090831,000000,53.1300000
SBER,W,20090907,000000,59.2000000
SBER,W,20090914,000000,57.6900000
SBER,W,20090921,000000,59.6500000
SBER,W,20090928,000000,58.5500000
SBER,W,20091005,000000,68.4300000
SBER,W,20091012,000000,64.9700000
SBER,W,20091019,000000,69.8100000
SBER,W,20091026,000000,64.6100000
SBER,W,20091102,000000,65.0000000
SBER,W,20091109,000000,69.8400000
SBER,W,20091116,000000,71.2000000
SBER,W,20091123,000000,67.4000000
SBER,W,20091130,000000,74.6200000
SBER,W,20091207,000000,74.9900000
SBER,W,20091214,000000,81.1900000
SBER,W,20091221,000000,80.9200000
SBER,W,20091228,000000,82.9400000
SBER,W,20100111,000000,88.1500000
SBER,W,20100118,000000,86.5000000
SBER,W,20100125,000000,88.4100000
SBER,W,20100201,000000,83.0900000
SBER,W,20100208,000000,80.0000000
SBER,W,20100215,000000,79.1700000
SBER,W,20100222,000000,76.3000000
SBER,W,20100301,000000,87.2000000
SBER,W,20100308,000000,89.1000000
SBER,W,20100315,000000,88.0400000
SBER,W,20100322,000000,84.6000000
SBER,W,20100329,000000,88.1800000
SBER,W,20100405,000000,86.8800000
SBER,W,20100412,000000,86.9900000
SBER,W,20100419,000000,84.4200000
SBER,W,20100426,000000,78.6000000
SBER,W,20100503,000000,70.3500000
SBER,W,20100510,000000,77.4300000
SBER,W,20100517,000000,69.3000000
SBER,W,20100524,000000,70.2000000
SBER,W,20100531,000000,70.2500000
SBER,W,20100607,000000,72.1900000
SBER,W,20100614,000000,80.3000000
SBER,W,20100621,000000,78.0000000
SBER,W,20100628,000000,72.9800000
SBER,W,20100705,000000,77.6600000
SBER,W,20100712,000000,79.0700000
SBER,W,20100719,000000,83.0100000
SBER,W,20100726,000000,84.5600000
SBER,W,20100802,000000,82.8300000
SBER,W,20100809,000000,80.7100000
SBER,W,20100816,000000,78.3700000
SBER,W,20100823,000000,77.0100000
SBER,W,20100830,000000,81.7200000
SBER,W,20100906,000000,83.3600000
SBER,W,20100913,000000,82.1500000
SBER,W,20100920,000000,84.8100000
SBER,W,20100927,000000,89.0900000
SBER,W,20101004,000000,90.5000000
SBER,W,20101011,000000,92.5300000
SBER,W,20101018,000000,101.9000000
SBER,W,20101025,000000,101.3600000
SBER,W,20101101,000000,103.3000000
SBER,W,20101108,000000,97.8000000
SBER,W,20101115,000000,98.7000000
SBER,W,20101122,000000,101.3600000
SBER,W,20101129,000000,103.0300000
SBER,W,20101206,000000,104.9200000
SBER,W,20101213,000000,105.7000000
SBER,W,20101220,000000,106.2300000
SBER,W,20101227,000000,104.1800000
SBER,W,20110110,000000,107.2100000
SBER,W,20110117,000000,105.6100000
SBER,W,20110124,000000,106.3800000
SBER,W,20110131,000000,102.8000000
SBER,W,20110207,000000,101.0400000
SBER,W,20110214,000000,100.8200000
SBER,W,20110221,000000,100.3400000
SBER,W,20110228,000000,101.5500000
SBER,W,20110307,000000,98.7500000
SBER,W,20110314,000000,100.1600000
SBER,W,20110321,000000,106.9400000
SBER,W,20110328,000000,108.7200000
SBER,W,20110404,000000,109.1000000
SBER,W,20110411,000000,105.9200000
SBER,W,20110418,000000,103.9200000
SBER,W,20110425,000000,100.0000000
SBER,W,20110502,000000,98.2000000
SBER,W,20110509,000000,97.9900000
SBER,W,20110516,000000,94.0000000
SBER,W,20110523,000000,97.1000000
SBER,W,20110530,000000,95.0200000
SBER,W,20110606,000000,97.5500000
SBER,W,20110613,000000,95.3300000
SBER,W,20110620,000000,97.1500000
SBER,W,20110627,000000,104.5000000
SBER,W,20110704,000000,105.2700000
SBER,W,20110711,000000,105.4600000
SBER,W,20110718,000000,101.8000000
SBER,W,20110725,000000,101.7500000
SBER,W,20110801,000000,95.8500000
SBER,W,20110808,000000,85.5000000
SBER,W,20110815,000000,78.7800000
SBER,W,20110822,000000,77.7900000
SBER,W,20110829,000000,82.4000000
SBER,W,20110905,000000,83.2000000
SBER,W,20110912,000000,81.4900000
SBER,W,20110919,000000,69.9900000
SBER,W,20110926,000000,70.4400000
SBER,W,20111003,000000,68.2200000
SBER,W,20111010,000000,80.7200000
SBER,W,20111017,000000,81.9000000
SBER,W,20111024,000000,85.4000000
SBER,W,20111031,000000,80.9000000
SBER,W,20111107,000000,80.8000000
SBER,W,20111114,000000,80.0300000
SBER,W,20111121,000000,78.6000000
SBER,W,20111128,000000,89.5000000
SBER,W,20111205,000000,82.2600000
SBER,W,20111212,000000,80.6200000
SBER,W,20111219,000000,80.0000000
SBER,W,20111226,000000,79.4000000
SBER,W,20120102,000000,83.2000000
SBER,W,20120109,000000,83.6000000
SBER,W,20120116,000000,85.1300000
SBER,W,20120123,000000,90.8000000
SBER,W,20120130,000000,94.5200000
SBER,W,20120206,000000,93.9400000
SBER,W,20120213,000000,96.7600000
SBER,W,20120220,000000,99.0200000
SBER,W,20120227,000000,101.6000000
SBER,W,20120305,000000,99.5700000
SBER,W,20120312,000000,100.1800000
SBER,W,20120319,000000,97.6000000
SBER,W,20120326,000000,94.8600000
SBER,W,20120402,000000,95.6400000
SBER,W,20120409,000000,94.1800000
SBER,W,20120416,000000,95.0000000
SBER,W,20120423,000000,93.9500000
SBER,W,20120430,000000,90.4200000
SBER,W,20120507,000000,90.9900000
SBER,W,20120514,000000,78.1900000
SBER,W,20120521,000000,79.8700000
SBER,W,20120528,000000,78.8600000
SBER,W,20120604,000000,81.5800000
SBER,W,20120611,000000,84.3400000
SBER,W,20120618,000000,83.7600000
SBER,W,20120625,000000,86.3900000
SBER,W,20120702,000000,89.2000000
SBER,W,20120709,000000,90.9800000
SBER,W,20120716,000000,90.1200000
SBER,W,20120723,000000,90.3100000
SBER,W,20120730,000000,91.6600000
SBER,W,20120806,000000,92.8500000
SBER,W,20120813,000000,92.0500000
SBER,W,20120820,000000,92.9100000
SBER,W,20120827,000000,93.1600000
SBER,W,20120903,000000,93.8600000
SBER,W,20120910,000000,97.0500000
SBER,W,20120917,000000,94.1600000
SBER,W,20120924,000000,90.9900000
SBER,W,20121001,000000,93.0200000
SBER,W,20121008,000000,91.5000000
SBER,W,20121015,000000,93.1900000
SBER,W,20121022,000000,91.9500000
SBER,W,20121029,000000,91.9500000
SBER,W,20121105,000000,85.8000000
SBER,W,20121112,000000,85.9800000
SBER,W,20121119,000000,89.3100000
SBER,W,20121126,000000,91.4100000
SBER,W,20121203,000000,93.2000000
SBER,W,20121210,000000,93.4200000
SBER,W,20121217,000000,93.5000000
SBER,W,20121224,000000,92.9400000
SBER,W,20130107,000000,99.5600000
SBER,W,20130114,000000,103.4800000
SBER,W,20130121,000000,103.6700000
SBER,W,20130128,000000,108.3600000
SBER,W,20130204,000000,107.0800000
SBER,W,20130211,000000,105.0800000
SBER,W,20130218,000000,106.1200000
SBER,W,20130225,000000,103.0900000
SBER,W,20130304,000000,105.3100000
SBER,W,20130311,000000,104.4200000
SBER,W,20130318,000000,99.3700000
SBER,W,20130325,000000,98.8600000
SBER,W,20130401,000000,99.2600000
SBER,W,20130408,000000,98.3600000
SBER,W,20130415,000000,96.4000000
SBER,W,20130422,000000,95.8000000
SBER,W,20130429,000000,103.0000000
SBER,W,20130506,000000,103.5700000
SBER,W,20130513,000000,105.1900000
SBER,W,20130520,000000,103.0800000
SBER,W,20130527,000000,99.0500000
SBER,W,20130603,000000,99.2000000
SBER,W,20130610,000000,93.7000000
SBER,W,20130617,000000,91.5000000
SBER,W,20130624,000000,93.6800000
SBER,W,20130701,000000,93.2000000
SBER,W,20130708,000000,98.5700000
SBER,W,20130715,000000,99.9900000
SBER,W,20130722,000000,94.8100000
SBER,W,20130729,000000,96.9900000
SBER,W,20130805,000000,95.7000000
SBER,W,20130812,000000,93.8000000
SBER,W,20130819,000000,91.9100000
SBER,W,20130826,000000,88.2300000
SBER,W,20130902,000000,92.4700000
SBER,W,20130909,000000,95.8200000
SBER,W,20130916,000000,102.3600000
SBER,W,20130923,000000,98.5900000
SBER,W,20130930,000000,100.3900000
SBER,W,20131007,000000,102.8700000
SBER,W,20131014,000000,105.1400000
SBER,W,20131021,000000,102.9900000
SBER,W,20131028,000000,103.6500000
SBER,W,20131104,000000,101.8600000
SBER,W,20131111,000000,103.6900000
SBER,W,20131118,000000,105.1000000
SBER,W,20131125,000000,103.0700000
SBER,W,20131202,000000,99.9000000
SBER,W,20131209,000000,98.9400000
SBER,W,20131216,000000,102.2000000
SBER,W,20131223,000000,100.6800000
SBER,W,20131230,000000,101.1700000
SBER,W,20140106,000000,99.2000000
SBER,W,20140113,000000,101.1700000
SBER,W,20140120,000000,99.7000000
SBER,W,20140127,000000,94.7000000
SBER,W,20140203,000000,96.5300000
SBER,W,20140210,000000,96.6500000
SBER,W,20140217,000000,95.0000000
SBER,W,20140224,000000,91.1600000
SBER,W,20140303,000000,79.9900000
SBER,W,20140310,000000,71.7500000
SBER,W,20140317,000000,78.4700000
SBER,W,20140324,000000,81.4700000
SBER,W,20140331,000000,82.9800000
SBER,W,20140407,000000,79.7500000
SBER,W,20140414,000000,78.8200000
SBER,W,20140421,000000,69.9100000
SBER,W,20140428,000000,72.2200000
SBER,W,20140505,000000,78.8000000
SBER,W,20140512,000000,79.2000000
SBER,W,20140519,000000,85.8300000
SBER,W,20140526,000000,84.5000000
SBER,W,20140602,000000,89.0000000
SBER,W,20140609,000000,89.0000000
SBER,W,20140616,000000,84.1600000
SBER,W,20140623,000000,84.3300000
SBER,W,20140630,000000,84.0000000
SBER,W,20140707,000000,84.5500000
SBER,W,20140714,000000,80.2700000
SBER,W,20140721,000000,75.1600000
SBER,W,20140728,000000,72.3700000
SBER,W,20140804,000000,70.7000000
SBER,W,20140811,000000,75.0500000
SBER,W,20140818,000000,78.3900000
SBER,W,20140825,000000,73.2100000
SBER,W,20140901,000000,80.2500000
SBER,W,20140908,000000,76.6500000
SBER,W,20140915,000000,77.4000000
SBER,W,20140922,000000,77.6000000
SBER,W,20140929,000000,73.7700000
SBER,W,20141006,000000,73.5000000
SBER,W,20141013,000000,73.1500000
SBER,W,20141020,000000,72.4900000
SBER,W,20141027,000000,76.2300000
SBER,W,20141103,000000,75.6900000
SBER,W,20141110,000000,74.1500000
SBER,W,20141117,000000,74.3900000
SBER,W,20141124,000000,72.2500000
SBER,W,20141201,000000,68.6000000
SBER,W,20141208,000000,64.2000000
SBER,W,20141215,000000,61.4400000
SBER,W,20141222,000000,57.1300000
SBER,W,20141229,000000,54.9000000
SBER,W,20150105,000000,63.1000000
SBER,W,20150112,000000,61.9900000
SBER,W,20150119,000000,64.4500000
SBER,W,20150126,000000,61.5000000
SBER,W,20150202,000000,64.3100000
SBER,W,20150209,000000,70.6000000
SBER,W,20150216,000000,74.7500000
SBER,W,20150223,000000,75.9100000
SBER,W,20150302,000000,73.2500000
SBER,W,20150309,000000,67.8700000
SBER,W,20150316,000000,67.0000000
SBER,W,20150323,000000,61.0000000
SBER,W,20150330,000000,65.5000000
SBER,W,20150406,000000,71.5000000
SBER,W,20150413,000000,72.5000000
SBER,W,20150420,000000,75.7500000
SBER,W,20150427,000000,76.9000000
SBER,W,20150504,000000,75.5000000
SBER,W,20150511,000000,75.0500000
SBER,W,20150518,000000,74.3500000
SBER,W,20150525,000000,73.5000000
SBER,W,20150601,000000,70.6100000
SBER,W,20150608,000000,72.5500000
SBER,W,20150615,000000,71.5600000
SBER,W,20150622,000000,70.6000000
SBER,W,20150629,000000,70.6700000
SBER,W,20150706,000000,71.0600000
SBER,W,20150713,000000,75.5200000
SBER,W,20150720,000000,70.4500000
SBER,W,20150727,000000,72.3000000
SBER,W,20150803,000000,74.2000000
SBER,W,20150810,000000,74.4300000
SBER,W,20150817,000000,69.8600000
SBER,W,20150824,000000,74.8200000
SBER,W,20150831,000000,73.9600000
SBER,W,20150907,000000,74.1000000
SBER,W,20150914,000000,75.5000000
SBER,W,20150921,000000,74.9700000
SBER,W,20150928,000000,73.8000000
SBER,W,20151005,000000,85.7700000
SBER,W,20151012,000000,88.5200000
SBER,W,20151019,000000,90.4500000
SBER,W,20151026,000000,90.5300000
SBER,W,20151102,000000,94.0900000
SBER,W,20151109,000000,93.4000000
SBER,W,20151116,000000,107.3000000
SBER,W,20151123,000000,104.5500000
SBER,W,20151130,000000,103.0500000
SBER,W,20151207,000000,98.1500000
SBER,W,20151214,000000,98.8100000
SBER,W,20151221,000000,101.3400000
SBER,W,20151228,000000,101.2600000
SBER,W,20160104,000000,96.8500000
SBER,W,20160111,000000,87.2700000
